desc,eval,img,intro,name,num,star
优雅的孤独。,260142人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,
                            1974 / 美国 / 剧情 犯罪
                        ",教父2,51,9.1
传说的开始。,409038人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ",指环王1：魔戒再现,52,9.0
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,271422人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,
                            2013 / 韩国 / 剧情
                        ",素媛,53,9.2
海豚的微笑，是世界上最高明的伪装。,228843人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg,"
                            导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...,
                            2009 / 美国 / 纪录片
                        ",海豚湾,54,9.3
人生不能像做菜，把所有的料都准备好了才下锅。,280368人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,
                            1994 / 台湾 美国 / 剧情 家庭
                        ",饮食男女,55,9.1
爱是一切逻辑和原由。,400619人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,
                            2001 / 美国 / 传记 剧情
                        ",美丽心灵,56,8.9
暗恋的极致。,498558人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,
                            1995 / 日本 / 剧情 爱情
                        ",情书,57,8.9
动物版《哈姆雷特》。,388250人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,
                            1994 / 美国 / 剧情 动画 冒险 歌舞 家庭
                        ",狮子王,58,9.0
音乐能化解仇恨。,264209人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,
                            2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐
                        ",钢琴家,59,9.1
往事如烟，无处祭奠。,226924人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,"
                            导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,
                            1984 / 意大利 美国 / 犯罪 剧情
                        ",美国往事,60,9.1
死亡不是真的逝去，遗忘才是永恒的消亡。,692724人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,"
                            导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...,
                            2017 / 美国 / 喜剧 动画 奇幻 音乐
                        ",寻梦环游记,61,9.0
在时间之河里感受溺水之苦。,520985人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,
                            2008 / 美国 / 剧情 爱情 奇幻
                        ",本杰明·巴顿奇事,62,8.8
奔跑的孩子是天使。,193545人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,"
                            导演: 马基德·马基迪 Majid Majidi   主演: 法拉赫阿米尔·哈什米安 Amir Fa...,
                            1997 / 伊朗 / 剧情 儿童 家庭
                        ",小鞋子,63,9.2
视觉革命。,389020人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,
                            1999 / 美国 澳大利亚 / 动作 科幻
                        ",黑客帝国,64,8.9
